region,birthplace,vote_2016,education,age_cat,birth_year,gender,household_income,hispanic,race,party_id_3,party_id_7,Z_defund_order,protest_support_blm,protest_support_brut,protest_support_dfnd,protest_support,protest_support_n,protest_support_blm_n,protest_support_blm_binary,protest_support_brut_n,protest_support_brut_binary,protest_support_dfnd_n,protest_support_dfnd_binary,protest_support_binary,gss_welfare,gss_ss,gss_enviro,gss_health,gss_education,gss_childcare,gss_science,gss_atp,gss_welfare_n,gss_ss_n,gss_enviro_n,gss_health_n,gss_education_n,gss_childcare_n,gss_science_n,gss_atp_n,police_spend,police_spend_n,police_matrix_violent_crime,police_matrix_property_crime,police_matrix_vice_crime,police_matrix_vehicle_stops,police_matrix_civil_order,police_matrix_prevent_crime,police_matrix_social_service,police_matrix_community_engage,survey
West,The United States,Clinton,Graduate degree,40-49,1980,Male,"$125,000 - $199,999",Not Hispanic,White,Democrats,Strong Democrat,Defund Last,Strongly support,Oppose,Somewhat support,NA,NA,7,1,2,0,5,1,NA,About right,Too much,Too much,About right,About right,About right,About right,Too much,0,-1,-1,0,0,0,0,-1,About right,0,Both,Social Services,Police,Social Services,Social Services,Social Services,Social Services,Police,YCLS July 13
Midwest,The United States,Trump,Some college,50-59,1961,Male,"$65,000 - $79,999",Not Hispanic,White,Republicans,Strong Republican,Defund Last,Strongly oppose,Strongly oppose,Strongly oppose,NA,NA,1,0,1,0,1,0,NA,Too much,Too little,Too much,About right,Too little,About right,About right,About right,-1,1,-1,0,1,0,0,0,Too little,1,Police,Police,Police,Police,Police,Police,Social Services,Social Services,YCLS July 13
South,The United States,No vote,High school diploma,18-23,1998,Female,"$19,999 or less",Not Hispanic,White,Independents,Independent,Defund First,Neither support nor oppose,Neither support nor oppose,Somewhat oppose,NA,NA,4,0,4,0,3,0,NA,Too much,Too little,Too little,Too little,Too little,Too little,Too much,Too much,-1,1,1,1,1,1,1,-1,Too little,1,Both,Police,Police,Police,Police,Police,Both,Both,YCLS July 13
West,The United States,Trump,Graduate degree,30-39,1985,Male,"$200,000 and above",Not Hispanic,White,Republicans,Strong Republican,Defund First,Support,Strongly support,Somewhat support,NA,NA,6,1,7,1,5,1,NA,About right,Too little,Don't know,Too little,Too little,Too much,Too little,Too little,0,1,NA,1,1,-1,-1,1,Too little,1,Both,Police,Police,Social Services,Social Services,Police,Social Services,Social Services,YCLS July 13
Northeast,The United States,Clinton,Graduate degree,NA,1952,Male,"$80,000 - $99,999",Not Hispanic,White,Democrats,Strong Democrat,Defund First,Strongly support,Strongly oppose,Strongly support,NA,NA,7,1,1,0,7,1,NA,Too much,Too much,About right,Too much,About right,Too much,Too much,About right,-1,-1,0,-1,0,-1,-1,0,About right,0,Both,Both,Both,Social Services,Both,Both,Social Services,Social Services,YCLS July 13
West,The United States,Trump,Some college,50-59,1960,Female,"$80,000 - $99,999",Not Hispanic,White,Republicans,Strong Republican,Defund Last,Strongly oppose,Strongly oppose,Strongly oppose,NA,NA,1,0,1,0,1,0,NA,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,NA,NA,NA,NA,NA,NA,NA,NA,Too little,1,Police,Police,Police,Police,Police,Police,Police,Police,YCLS July 13
South,The United States,Clinton,Some college,50-59,1967,Female,"$19,999 or less",Not Hispanic,Black,Democrats,Strong Democrat,Defund First,Strongly support,Strongly support,Somewhat support,NA,NA,7,1,7,1,5,1,NA,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,1,1,1,1,1,1,1,1,About right,0,Police,Police,Both,Police,Police,Police,Social Services,Both,YCLS July 13
South,The United States,Clinton,Graduate degree,30-39,1984,Female,"$125,000 - $199,999",Not Hispanic,White,Democrats,Strong Democrat,Defund First,Strongly support,Support,Strongly support,NA,NA,7,1,6,1,7,1,NA,Too much,Too much,Too much,Too much,About right,About right,Too much,About right,-1,-1,-1,-1,0,0,0,0,Too much,-1,Social Services,Police,Police,Social Services,Social Services,Social Services,Social Services,Police,YCLS July 13
South,The United States,Other vote,Graduate degree,50-59,1969,Female,Unanswered,Not Hispanic,White,Independents,Independent,Defund First,Strongly support,Strongly support,Somewhat support,NA,NA,7,1,7,1,5,1,NA,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,NA,NA,NA,NA,NA,NA,NA,NA,Don't know,NA,Both,Both,Both,Police,Both,Both,Social Services,Both,YCLS July 13
Midwest,The United States,Trump,High school diploma,70+,1944,Female,"$20,000 - $34,999",Not Hispanic,White,Republicans,Lean Republican,Defund Last,Somewhat support,Neither support nor oppose,Oppose,NA,NA,5,1,4,0,2,0,NA,Too much,Too little,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,-1,1,NA,NA,NA,NA,NA,NA,Too little,1,Both,Police,Both,Police,Police,Police,Both,Both,YCLS July 13
South,Another country,Clinton,Associate's degree,18-23,1995,Male,"$19,999 or less",Mexican,Other,Republicans,Weak Republican,Defund Last,Oppose,Oppose,Somewhat oppose,NA,NA,2,0,2,0,3,0,NA,Too much,Too little,Don't know,Too much,Too much,Too much,Too much,About right,-1,1,NA,-1,-1,-1,-1,0,Don't know,NA,Social Services,Social Services,Both,Social Services,Both,Social Services,Both,Police,YCLS July 13
South,The United States,Other vote,High school diploma,24-29,1999,Female,"$20,000 - $34,999",Other Hispanic,Black,Democrats,Weak Democrat,Defund Last,Somewhat oppose,Neither support nor oppose,Somewhat support,NA,NA,3,0,4,0,5,1,NA,Don't know,About right,Don't know,About right,Don't know,Too much,About right,Too little,NA,0,NA,0,NA,-1,-1,1,Too much,-1,Both,Both,Both,Social Services,Both,Both,Social Services,Social Services,YCLS July 13
Midwest,The United States,Clinton,No high school diploma,24-29,1991,Male,"$19,999 or less",Mexican,Other,Independents,Independent,Defund Last,Strongly support,Strongly support,Strongly support,NA,NA,7,1,7,1,7,1,NA,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,1,1,1,1,1,1,1,1,Too little,1,Police,Police,Police,Police,Police,Police,Police,Police,YCLS July 13
South,The United States,Clinton,Associate's degree,18-23,1999,Female,"$50,000 - $64,999",Not Hispanic,Black,Democrats,Strong Democrat,Defund Last,Strongly support,Strongly support,Support,NA,NA,7,1,7,1,6,1,NA,About right,Too much,Too little,Too little,About right,Too much,Too little,About right,0,-1,1,1,0,-1,-1,0,Too much,-1,Both,Police,Police,Social Services,Police,Police,Social Services,Social Services,YCLS July 13
Northeast,The United States,Clinton,Graduate degree,40-49,1980,Male,"$125,000 - $199,999",Not Hispanic,White,Democrats,Strong Democrat,Defund First,Strongly support,Support,Strongly support,NA,NA,7,1,6,1,7,1,NA,About right,Too little,About right,About right,About right,About right,About right,Too little,0,1,0,0,0,0,0,1,Too little,1,Police,Social Services,Police,Social Services,Police,Social Services,Social Services,Police,YCLS July 13
South,The United States,Other vote,Some college,70+,1948,Female,"$19,999 or less",Not Hispanic,White,Republicans,Strong Republican,Defund First,Neither support nor oppose,Support,Somewhat support,NA,NA,4,0,6,1,5,1,NA,Too much,Too little,Too little,Too little,Too little,About right,About right,Too much,-1,1,1,1,1,0,0,-1,Too much,-1,Both,Police,Police,Police,Both,Police,Social Services,Both,YCLS July 13
Northeast,The United States,Clinton,Bachelor's degree,30-39,1982,Female,"$35,000 - $49,999",Other Hispanic,Other,Democrats,Weak Democrat,Defund First,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,NA,NA,4,0,4,0,4,0,NA,Too much,About right,Too little,About right,About right,Too much,Too little,About right,-1,0,1,0,0,-1,-1,0,About right,0,Both,Police,Both,Social Services,Both,Both,Social Services,Social Services,YCLS July 13
Midwest,The United States,Trump,High school diploma,NA,1953,Female,"$19,999 or less",Not Hispanic,White,Republicans,Strong Republican,Defund Last,Strongly oppose,Strongly oppose,Strongly oppose,NA,NA,1,0,1,0,1,0,NA,Too much,Too little,Too little,About right,About right,About right,About right,About right,-1,1,1,0,0,0,0,0,About right,0,Police,Police,Police,Police,Police,Police,Both,Both,YCLS July 13
West,The United States,No vote,Graduate degree,70+,1947,Female,"$65,000 - $79,999",Not Hispanic,White,Democrats,Weak Democrat,Defund Last,Somewhat support,Support,Neither support nor oppose,NA,NA,5,1,6,1,4,0,NA,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,1,1,1,1,1,1,1,1,Too little,1,Police,Police,Police,Police,Both,Both,Both,Both,YCLS July 13
South,The United States,Trump,Graduate degree,NA,1955,Male,"$65,000 - $79,999",Not Hispanic,White,Republicans,Strong Republican,Defund Last,Neither support nor oppose,Somewhat oppose,Strongly oppose,NA,NA,4,0,3,0,1,0,NA,Too much,Too little,Too little,Too little,Too little,Don't know,Too little,Don't know,-1,1,1,1,1,NA,NA,NA,Too little,1,Police,Police,Police,Police,Police,Police,Social Services,Both,YCLS July 13
Northeast,Another country,Clinton,High school diploma,NA,1953,Female,"$65,000 - $79,999",Not Hispanic,White,Democrats,Strong Democrat,Defund First,Somewhat support,Neither support nor oppose,Neither support nor oppose,NA,NA,5,1,4,0,4,0,NA,Too much,Too little,Too little,About right,Too little,About right,Too little,Too much,-1,1,1,0,1,0,0,-1,About right,0,Both,Police,Police,Police,Police,Police,Social Services,Social Services,YCLS July 13
Northeast,The United States,Trump,Bachelor's degree,40-49,1980,Male,"$50,000 - $64,999",Not Hispanic,White,Republicans,Strong Republican,Defund Last,Strongly support,Strongly support,Strongly support,NA,NA,7,1,7,1,7,1,NA,Too much,Too much,Too much,Too much,Too much,Too much,Too much,Too much,-1,-1,-1,-1,-1,-1,-1,-1,Too much,-1,Police,Social Services,Social Services,Police,Both,Social Services,Both,Social Services,YCLS July 13
South,The United States,Trump,Some college,50-59,1967,Female,"$125,000 - $199,999",Not Hispanic,White,Republicans,Strong Republican,Defund First,Strongly oppose,Somewhat oppose,Strongly oppose,NA,NA,1,0,3,0,1,0,NA,Too much,About right,Too much,Don't know,Don't know,Don't know,Don't know,Don't know,-1,0,-1,NA,NA,NA,NA,NA,Too little,1,Police,Police,Police,Police,Police,Police,Police,Both,YCLS July 13
Midwest,The United States,Trump,Graduate degree,40-49,1980,Male,"$200,000 and above",Not Hispanic,White,Republicans,Strong Republican,Defund First,Strongly support,Strongly support,Strongly support,NA,NA,7,1,7,1,7,1,NA,Too much,Too much,Too much,Too much,Too much,Too much,Too much,Too much,-1,-1,-1,-1,-1,-1,-1,-1,Too much,-1,Police,Police,Police,Police,Police,Police,Police,Police,YCLS July 13
South,The United States,Clinton,Bachelor's degree,NA,1953,Male,"$20,000 - $34,999",Not Hispanic,White,Democrats,Strong Democrat,Defund Last,Strongly support,Strongly support,Strongly support,NA,NA,7,1,7,1,7,1,NA,About right,About right,About right,About right,About right,About right,About right,About right,0,0,0,0,0,0,0,0,About right,0,Both,Both,Both,Both,Both,Both,Both,Both,YCLS July 13
West,The United States,Trump,Graduate degree,40-49,1980,Male,"$125,000 - $199,999",Not Hispanic,White,Republicans,Strong Republican,Defund First,Neither support nor oppose,Oppose,Support,NA,NA,4,0,2,0,6,1,NA,Too little,About right,About right,About right,About right,Too much,About right,About right,1,0,0,0,0,-1,-1,0,About right,0,Social Services,Social Services,Both,Social Services,Police,Social Services,Social Services,Social Services,YCLS July 13
Northeast,The United States,Trump,Bachelor's degree,40-49,1979,Male,"$50,000 - $64,999",Not Hispanic,White,Republicans,Strong Republican,Defund Last,Support,Support,Strongly support,NA,NA,6,1,6,1,7,1,NA,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,1,1,1,1,1,1,1,1,Too little,1,Social Services,Police,Police,Police,Social Services,Social Services,Police,Police,YCLS July 13
Northeast,The United States,Trump,Graduate degree,40-49,1977,Male,"$125,000 - $199,999",Not Hispanic,White,Republicans,Strong Republican,Defund Last,Strongly support,Strongly support,Strongly support,NA,NA,7,1,7,1,7,1,NA,About right,About right,About right,About right,About right,About right,About right,About right,0,0,0,0,0,0,0,0,About right,0,Both,Both,Both,Both,Both,Both,Both,Both,YCLS July 13
South,The United States,Clinton,Bachelor's degree,40-49,1973,Female,"$125,000 - $199,999",Not Hispanic,Black,Democrats,Weak Democrat,Defund First,Strongly support,Strongly support,Somewhat support,NA,NA,7,1,7,1,5,1,NA,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,1,1,1,1,1,1,1,1,About right,0,Police,Police,Both,Police,Police,Both,Social Services,Social Services,YCLS July 13
South,The United States,Trump,No high school diploma,30-39,1986,Female,"$19,999 or less",Mexican,Other,Democrats,Strong Democrat,Defund Last,Somewhat oppose,Somewhat oppose,Somewhat support,NA,NA,3,0,3,0,5,1,NA,Too much,Too much,About right,Don't know,About right,Don't know,About right,About right,-1,-1,0,NA,0,NA,NA,0,Too much,-1,Police,Social Services,Social Services,Social Services,Police,Social Services,Police,NA,YCLS July 13
South,The United States,Trump,Bachelor's degree,30-39,1985,Female,"$35,000 - $49,999",Not Hispanic,Black,Democrats,Strong Democrat,Defund First,Somewhat support,Strongly support,Strongly oppose,NA,NA,5,1,7,1,1,0,NA,About right,About right,Too little,About right,About right,About right,About right,Too little,0,0,1,0,0,0,0,1,About right,0,Both,Both,Both,Both,Social Services,Social Services,Social Services,Social Services,YCLS July 13
South,The United States,Trump,Some college,70+,1941,Female,"$50,000 - $64,999",Not Hispanic,White,Independents,Independent,Defund Last,Strongly oppose,Neither support nor oppose,Strongly oppose,NA,NA,1,0,4,0,1,0,NA,Too much,Too little,About right,About right,Don't know,About right,About right,About right,-1,1,0,0,NA,0,0,0,Don't know,NA,Police,Police,Police,Police,Police,Police,Both,Both,YCLS July 13
South,Another country,Trump,Graduate degree,30-39,1980,Female,"$125,000 - $199,999",Other Hispanic,Other,Republicans,Lean Republican,Defund Last,Strongly oppose,Strongly oppose,Strongly oppose,NA,NA,1,0,1,0,1,0,NA,Too little,Too much,Too little,Too much,Too much,Too little,Too much,Too little,1,-1,1,-1,-1,1,1,1,Too much,-1,Social Services,Police,Police,Police,Social Services,Social Services,Police,Social Services,YCLS July 13
South,The United States,Trump,High school diploma,24-29,1991,Male,"$19,999 or less",Not Hispanic,White,Democrats,Strong Democrat,Defund First,Somewhat oppose,Neither support nor oppose,Neither support nor oppose,NA,NA,3,0,4,0,4,0,NA,Too much,Don't know,Too little,Too much,Too much,Too much,Too much,Too much,-1,NA,1,-1,-1,-1,-1,-1,Don't know,NA,Social Services,Social Services,Social Services,Social Services,Social Services,Social Services,Social Services,Both,YCLS July 13
South,The United States,Trump,High school diploma,NA,1953,Female,"$20,000 - $34,999",Not Hispanic,White,Democrats,Weak Democrat,Defund Last,Support,Support,Support,NA,NA,6,1,6,1,6,1,NA,About right,About right,About right,About right,About right,About right,About right,About right,0,0,0,0,0,0,0,0,About right,0,Both,Both,Both,Both,Social Services,Both,Both,Both,YCLS July 13
South,The United States,Clinton,No high school diploma,18-23,2000,Female,"$19,999 or less",Mexican,Other,Democrats,Strong Democrat,Defund First,Neither support nor oppose,Somewhat oppose,Somewhat support,NA,NA,4,0,3,0,5,1,NA,About right,About right,About right,Too much,Too little,About right,Too much,Too little,0,0,0,-1,1,0,0,1,Too little,1,Social Services,Social Services,Police,Social Services,Social Services,Both,Social Services,Social Services,YCLS July 13
South,The United States,Trump,Associate's degree,18-23,1997,Female,"$19,999 or less",Mexican,Black,Republicans,Strong Republican,Defund Last,Somewhat oppose,Neither support nor oppose,Somewhat oppose,NA,NA,3,0,4,0,3,0,NA,About right,Too much,Too little,Too little,Don't know,About right,Too little,Too much,0,-1,1,1,NA,0,0,-1,Too much,-1,Social Services,Both,Both,Both,Both,Social Services,Police,Both,YCLS July 13
South,The United States,Clinton,Bachelor's degree,40-49,1976,Male,"$19,999 or less",Not Hispanic,White,Democrats,Weak Democrat,Defund First,Somewhat support,Somewhat support,Neither support nor oppose,NA,NA,5,1,5,1,4,0,NA,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,1,1,1,1,1,1,1,1,Too much,-1,Police,Police,Police,Police,Police,Both,Social Services,Both,YCLS July 13
South,The United States,Trump,Graduate degree,40-49,1971,Male,"$200,000 and above",Not Hispanic,White,Republicans,Strong Republican,Defund Last,Strongly support,Strongly support,Support,NA,NA,7,1,7,1,6,1,NA,Too little,Too little,Too much,Too little,About right,About right,Too little,About right,1,1,-1,1,0,0,0,0,Too little,1,Social Services,Both,Police,Police,Social Services,Both,Social Services,Social Services,YCLS July 13
Midwest,The United States,Clinton,Graduate degree,30-39,1986,Female,"$100,000 - $124,999",Not Hispanic,White,Democrats,Strong Democrat,Defund Last,Oppose,Neither support nor oppose,Somewhat support,NA,NA,2,0,4,0,5,1,NA,About right,About right,Too much,Too much,About right,Too much,Too little,Too little,0,0,-1,-1,0,-1,-1,1,About right,0,Police,Both,Social Services,Police,Both,Social Services,Social Services,Both,YCLS July 13
Midwest,The United States,No vote,No high school diploma,30-39,1983,Female,"$19,999 or less",Not Hispanic,White,Independents,Independent,Defund First,Neither support nor oppose,Somewhat oppose,Neither support nor oppose,NA,NA,4,0,3,0,4,0,NA,Too much,About right,About right,About right,Too much,Don't know,Too much,About right,-1,0,0,0,-1,NA,NA,0,Too much,-1,Social Services,Social Services,Both,Both,Both,NA,Social Services,Both,YCLS July 13
Northeast,The United States,Clinton,No high school diploma,18-23,1995,Male,Unanswered,Not Hispanic,Other,Democrats,Strong Democrat,Defund First,Support,Neither support nor oppose,Somewhat support,NA,NA,6,1,4,0,5,1,NA,Too little,Don't know,Too much,About right,Too much,About right,Don't know,Don't know,1,NA,-1,0,-1,0,0,NA,Don't know,NA,Both,Police,Police,Police,Social Services,Social Services,Both,Social Services,YCLS July 13
South,The United States,No vote,Some college,18-23,2000,Female,Unanswered,Mexican,Other,Democrats,Lean Democrat,Defund Last,Somewhat support,Somewhat support,Somewhat oppose,NA,NA,5,1,5,1,3,0,NA,Too much,Too little,About right,Too little,Too much,About right,Too much,Too much,-1,1,0,1,-1,0,0,-1,Too little,1,Both,Social Services,Social Services,Police,Social Services,Social Services,Social Services,Both,YCLS July 13
Midwest,The United States,Trump,Bachelor's degree,40-49,1975,Male,"$50,000 - $64,999",Not Hispanic,White,Republicans,Strong Republican,Defund First,Support,Support,Support,NA,NA,6,1,6,1,6,1,NA,About right,Too much,About right,Too much,Too much,Too much,Too much,About right,0,-1,0,-1,-1,-1,-1,0,About right,0,Police,Social Services,Social Services,Social Services,Both,Social Services,Both,Police,YCLS July 13
West,The United States,Clinton,No high school diploma,18-23,2000,Male,Unanswered,Not Hispanic,Other,Republicans,Weak Republican,Defund Last,Neither support nor oppose,Somewhat oppose,Somewhat oppose,NA,NA,4,0,3,0,3,0,NA,Too much,About right,Don't know,About right,Too much,Too much,Don't know,Don't know,-1,0,NA,0,-1,-1,-1,NA,About right,0,Social Services,Social Services,Both,Both,Police,Social Services,Police,Police,YCLS July 13
West,Another country,Trump,Graduate degree,50-59,1963,Female,"$35,000 - $49,999",Not Hispanic,White,Republicans,Weak Republican,Defund First,Somewhat support,Support,Somewhat support,NA,NA,5,1,6,1,5,1,NA,Too much,Too much,About right,Too little,About right,Too much,Too little,About right,-1,-1,0,1,0,-1,-1,0,About right,0,Social Services,Both,Police,Police,Both,Police,Both,Social Services,YCLS July 13
